Period,Sales
Jan-2010,31913.00
Feb-2010,30721.00
Mar-2010,37166.00
Apr-2010,33845.00
May-2010,32694.00
Jun-2010,34991.00
Jul-2010,33995.00
Aug-2010,35607.00
Sep-2010,37259.00
Oct-2010,34988.00
Nov-2010,36142.00
Dec-2010,36597.00
Jan-2011,35179.00
Feb-2011,32638.00
Mar-2011,38801.00
Apr-2011,35069.00
May-2011,36722.00
Jun-2011,36803.00
Jul-2011,34815.00
Aug-2011,39200.00
Sep-2011,38561.00
Oct-2011,38738.00
Nov-2011,38757.00
Dec-2011,38079.00
Jan-2012,38302.00
Feb-2012,36910.00
Mar-2012,40155.00
Apr-2012,37744.00
May-2012,39609.00
Jun-2012,36754.00
Jul-2012,38008.00
Aug-2012,39209.00
Sep-2012,35745.00
Oct-2012,41105.00
Nov-2012,39488.00
Dec-2012,39581.00
Jan-2013,41750.00
Feb-2013,35513.00
Mar-2013,39851.00
Apr-2013,40455.00
May-2013,42386.00
Jun-2013,38218.00
Jul-2013,41629.00
Aug-2013,41320.00
Sep-2013,39678.00
Oct-2013,43650.00
Nov-2013,39662.00
Dec-2013,42955.00
Jan-2014,42491.00
Feb-2014,38590.00
Mar-2014,43615.00
Apr-2014,45230.00
May-2014,45255.00
Jun-2014,44092.00
Jul-2014,46074.00
Aug-2014,44136.00
Sep-2014,47105.00
Oct-2014,49201.00
Nov-2014,42995.00
Dec-2014,51859.00
Jan-2015,46276.00
Feb-2015,44379.00
Mar-2015,51096.00
Apr-2015,50492.00
May-2015,48223.00
Jun-2015,51480.00
Jul-2015,51698.00
Aug-2015,49600.00
Sep-2015,52969.00
Oct-2015,52861.00
Nov-2015,50013.00
Dec-2015,56180.00
Jan-2016,48638.00
Feb-2016,49741.00
Mar-2016,56738.00
Apr-2016,51826.00
May-2016,53565.00
Jun-2016,55166.00
Jul-2016,50459.00
Aug-2016,56876.00
Sep-2016,55473.00
Oct-2016,53562.00
Nov-2016,55839.00
Dec-2016,56683.00
Jan-2017,52741.00
Feb-2017,49192.00
Mar-2017,58002.00
Apr-2017,50771.00
May-2017,57609.00
Jun-2017,57930.00
Jul-2017,53016.00
Aug-2017,58619.00
Sep-2017,54022.00
Oct-2017,57165.00
Nov-2017,56872.00
Dec-2017,56553.00
Jan-2018,57594.00
Feb-2018,50045.00
Mar-2018,57863.00
Apr-2018,55418.00
May-2018,60622.00
Jun-2018,57594.00
Jul-2018,56849.00
Aug-2018,60933.00
Sep-2018,55201.00
Oct-2018,62500.00
Nov-2018,59565.00
Dec-2018,59404.00
Jan-2019,59487.00
Feb-2019,52985.00
Mar-2019,58466.00
Apr-2019,60076.00
May-2019,62944.00
Jun-2019,57255.00
Jul-2019,62194.00
Aug-2019,60731.00
Sep-2019,59630.00
Oct-2019,65154.00
Nov-2019,59192.00
Dec-2019,63930.00
Jan-2020,61689.00
Feb-2020,56002.00
Mar-2020,69508.00
Apr-2020,60055.00
May-2020,55245.00
Jun-2020,63651.00
Jul-2020,64964.00
Aug-2020,62613.00
Sep-2020,66546.00
Oct-2020,67104.00
Nov-2020,65093.00
Dec-2020,73103.00
Jan-2021,62408.00
Feb-2021,59115.00
Mar-2021,73646.00
Apr-2021,67830.00
May-2021,64955.00
Jun-2021,69728.00
Jul-2021,70292.00
Aug-2021,67745.00
Sep-2021,73958.00
Oct-2021,69185.00
Nov-2021,71661.00
Dec-2021,77160.00
Jan-2022,69427.00
Feb-2022,68176.00
Mar-2022,77489.00
Apr-2022,71766.00
May-2022,75494.00
Jun-2022,80220.00
Jul-2022,72548.00
Aug-2022,82691.00
Sep-2022,82413.00
Oct-2022,78438.00
Nov-2022,80955.00
Dec-2022,82288.00